repo,language,stars,url,ci_status,build_tool,is_buildable,primary_ci,first_buildable_sha,first_buildable_date
ginuerzh/gost,Go,17579,https://github.com/ginuerzh/gost,SUCCESS,GoModules,True,GitHub Actions,87d6a2fdc2cc04fa6f7c90e6cc9e8406076f6928,2024-10-11T08:02:44Z
git-lfs/git-lfs,Go,14064,https://github.com/git-lfs/git-lfs,SUCCESS,GoModules,True,GitHub Actions,38d645f063a9c0f157763175df0ecae8653e6eb3,2024-12-20T01:17:03Z
github/gh-ost,Go,13205,https://github.com/github/gh-ost,SUCCESS,GoModules,True,GitHub Actions,ad5d3ea979502d9fe4b57bf5330ac91ef20f0824,2025-01-05T00:16:37Z
github/git-sizer,Go,3975,https://github.com/github/git-sizer,SUCCESS,GoModules,True,GitHub Actions,b84ee4d41db733827387690506556739b0c02817,2023-12-17T17:27:10Z
go-acme/lego,Go,9238,https://github.com/go-acme/lego,SUCCESS,GoModules,True,GitHub Actions,5f53d3e87d19999993ae81c69a25e43db42937ce,2025-01-02T22:59:02Z
go-chi/chi,Go,21546,https://github.com/go-chi/chi,SUCCESS,GoModules,True,GitHub Actions,71307f9b7e4e9527638bc951c42b782cd1560331,2025-01-20T20:41:44Z
go-delve/delve,Go,24584,https://github.com/go-delve/delve,FAILURE,GoModules,True,GitHub Actions,37422e602221a9f3e4d041c650a3b1ee2e0ba344,2025-01-03T18:40:56Z
go-gitea/gitea,Go,53650,https://github.com/go-gitea/gitea,SUCCESS,GoModules,True,GitHub Actions,1a7591d7f9feada9556627344ed2189315c23033,2024-12-25T05:03:43Z
go-ini/ini,Go,3537,https://github.com/go-ini/ini,SUCCESS,GoModules,True,GitHub Actions,54a0ff78ec7661a95ff5699bf96ed58629add0b6,2026-01-10T18:39:55Z
go-macaron/macaron,Go,3559,https://github.com/go-macaron/macaron,SUCCESS,GoModules,True,GitHub Actions,fd9e130ce7800c5269ebd1d3b7785b98a9250cc3,2025-01-14T02:15:40Z
go-pg/pg,Go,5787,https://github.com/go-pg/pg,SUCCESS,GoModules,True,GitHub Actions,6e60d54a787aeebb9d53f446ae93f462d635a8a2,2025-07-08T16:22:12Z
go-playground/validator,Go,19691,https://github.com/go-playground/validator,SUCCESS,GoModules,True,GitHub Actions,2cce309b681d803db45519afc303a5d1598d3de1,2025-01-13T02:30:34Z
redis/go-redis,Go,21915,https://github.com/redis/go-redis,SUCCESS,GoModules,True,GitHub Actions,e953b76fdb62aa70b6f569d34c2af92b497f395a,2025-01-15T09:24:47Z
go-resty/resty,Go,11526,https://github.com/go-resty/resty,SUCCESS,GoModules,True,GitHub Actions,af72a4ded0c71c63e0cbfd0609855b571efeb431,2024-12-29T01:52:35Z
